id,prioridad,problema,propiedad,cambio,prueba_comando,evidencia,estado,limitacion
T01,P0,"Envío parcial por commits auxiliares","Respuestas, calificación y cierre se confirman juntos","Servicio de entrega en tres fases y persistencia con una transacción final","python -m pytest tests/test_atomicidad_envio.py -q","atomicidad/atomicidad_concurrencia_final.xml","IMPLEMENTADO Y EJECUTADO","Ejecutado localmente con SQLite; ruta PostgreSQL pendiente"
T02,P0,"Fallos intermedios dejan estados incoherentes","Todo fallo anterior al commit conserva el snapshot previo","Siete puntos de inyección, rollback y lectura desde conexión nueva","python -m pytest tests/test_atomicidad_envio.py -q","atomicidad/","IMPLEMENTADO Y EJECUTADO","Prueba automatizada; no es una demostración matemática del ORM"
T03,P0,"Carrera al iniciar un intento","Como máximo una entrega por alumno y examen","Restricción UNIQUE y recuperación del ganador tras IntegrityError","python -m pytest tests/test_concurrencia.py -q","concurrencia/","IMPLEMENTADO Y EJECUTADO","Intercalados PostgreSQL pendientes"
T04,P0,"Reserva permanente o reenvío doble","Reserva caduca y como máximo una solicitud confirma","Identificador, caducidad, versión e idempotencia por hash","python -m pytest tests/test_atomicidad_envio.py -q","atomicidad/","IMPLEMENTADO Y EJECUTADO","La identidad sigue siendo de demostración"
T05,P0,"Sin evidencia de PostgreSQL real","Migraciones e invariantes se ensayan en el motor previsto","Compose efímero, script, pruebas y job CI","python scripts/verificar_postgresql.py","postgresql/ESTADO_INFRAESTRUCTURA.md","CONFIGURADO, NO VALIDADO","Daemon Docker no disponible"
T06,P0,"Sandbox validado solo con dobles","Controles se inspeccionan y atacan en contenedores reales","Runner endurecido, metadatos y campaña opt-in","python scripts/verificar_sandbox_docker.py","sandbox_adversarial/ESTADO_INFRAESTRUCTURA.md","IMPLEMENTADO, NO EJECUTADO EN ESTE ENTORNO","Daemon ausente; seguridad nunca absoluta"
T07,P1,"Runner local inseguro en producción","Producción falla cerrada sin Docker y secretos fuertes","Validación en lifespan y separación de modos","python -m pytest tests/test_modo_produccion.py -q","verificacion/pytest-junit.xml","IMPLEMENTADO Y EJECUTADO","No se desplegó un entorno productivo"
T08,P1,"Pérdida de texto antes del envío","Borrador autoritativo recuperable y versionado","Modelo, endpoints y autosalvado visible","python -m pytest tests/test_borradores.py -q","navegador/capturas/10_autosalvado.png","IMPLEMENTADO Y EJECUTADO","La última petición en vuelo puede perderse al cerrar abruptamente"
T09,P1,"Captura multimedia no verificable","Permisos previos visibles y clip limitado asociado a evento","Flujos retenidos, MIME negociado, límites y validación de contenido","python scripts/capturar_recorrido_navegador.py","navegador/resultado_navegador.json","IMPLEMENTADO Y EJECUTADO","Medios sintéticos; hardware y selector real requieren comprobación manual"
T10,P1,"Acceso y retención de evidencia","Solo profesorado autorizado accede y queda traza","BLOB no público, nombre UUID, log de acceso y depuración opt-in","python -m pytest tests/test_auditoria_profesor.py -q","seguridad/PRIVACIDAD_Y_LIMITACIONES.md","IMPLEMENTADO Y EJECUTADO","Revisión jurídica fuera del alcance"
T11,P1,"Observabilidad ambigua del sandbox","Cada ejecución informa ID, duración, motivo, salida y limpieza","Resultado estructurado y stdout/stderr separados","python -m pytest tests/test_sandbox_security.py -q","verificacion/pytest-junit.xml","IMPLEMENTADO Y EJECUTADO","Metadatos reales del contenedor pendientes"
T12,P2,"Modelo de estados no comprobado","Invariantes se exploran exhaustivamente en un modelo acotado","Explorador explícito de dos solicitudes, fallos, rollback y caducidad","python verification/submission_atomicity/modelo_estados.py","modelo_formal/salida_modelo.json","IMPLEMENTADO Y EJECUTADO","17 estados del modelo; no prueba formal del código Python"
T13,P2,"Dependencias e imágenes mutables","Versiones quedan fijadas y auditables","Dependencias actualizadas y bases por versión+digest","python -m pip_audit -r requirements.txt --progress-spinner off","seguridad/pip-audit-final.json","IMPLEMENTADO Y EJECUTADO","Auditoría temporal; construcción de imagen bloqueada"
T14,P2,"Evidencia dispersa","Una persona puede reproducir y verificar resultados sin esta conversación","Verificador, manual, diagramas, matriz, manifiesto y ZIP","python scripts/generar_paquete_evidencias.py","EVIDENCE_MANIFEST.json","IMPLEMENTADO Y EJECUTADO","Las comprobaciones externas conservan su estado pendiente"
T15,P2,"CI monolítica o incompleta","Calidad, datos, navegador, aislamiento, seguridad y evidencia se separan","Jobs independientes con artefactos","Inspección de .github/workflows/ci.yml","ci/ci.yml","CONFIGURADO, NO VALIDADO","No se ejecutó GitHub Actions desde este entorno"
T16,P1,"Identidad demo confundible con institucional","Producción rechaza autenticación demo","Interruptor de configuración y arranque seguro","python -m pytest tests/test_modo_produccion.py tests/test_auth.py -q","seguridad/MODELO_AMENAZAS.md","IMPLEMENTADO Y EJECUTADO","OIDC/SSO institucional y segundo factor fuera del alcance sin proveedor"
